"state","year","absvot","earlvot","nofelons","w_felon_disenfranchise_new","sdr","avr_any","avr_backend","voterid_any_new","voterid_photo","prisoner_vote","youth_preregistration","registration_drive_restriction","website_pollingplace","website_reg_status","website_precinct_ballot","website_absentee_status","website_provisional_status","reg_rej","prov_partic","prov_rej_all","uocava_rej","uocava_nonret","eavs_completeness","post_election_audit","nonvoter_illness_onyear_pct","nonvoter_illness_offyear_pct","nonvoter_reg_onyear_pct","nonvoter_reg_offyear_pct","online_reg","wait","residual","pct_reg_of_vep_vrs","eric_membership","risk_limiting_audit","compactness","econ_opinion_residual","social_opinion_residual","mean_median_c","symmetry_c","declination2_c","mean_median_pres_c","declination2_pres_c","symmetry_pres_c","EG_sh","mean_median_sh","symmetry_sh","declination2_sh","mean_median_pres_sh","declination2_pres_sh","symmetry_pres_sh","EG_ss","mean_median_ss","symmetry_ss","declination2_ss"
"Alabama",2023,0,0,0.0130637105202839,2,0,0,0,1,1,0,0,0,1,"1",1,1,"1",0.0111785,0.0038425,0.0014395,0.00611,0.3084507,0.9674774,0,0.22291428,0.1679202,0.05091877,0.0228558,"1",2.563132,0.0031203,0.8582346,1,0,61.2971925073324,0.464887302453326,2.71341414429027,0.024147635,0.175324675,0.384028025,0.026209054,0.497008489,0.188311688,0.078158964,0.083765286,0.13982684,0.331648304,0.072746203,0.716582508,0.146753247,0.058868652,0.081712283,0.15974026,0.344912048
"Alabama",2022,0,0,0.0130637105202839,2,0,0,0,1,1,0,0,0,1,"1",1,1,"1",0.0111785,0.0038425,0.0014395,0.00611,0.3084507,0.9674774,0,0.22291428,0.1679202,0.05091877,0.0228558,"1",2.563132,0.0031203,0.8582346,1,0,61.2971925073324,0.464887302453326,2.71341414429027,0.024147635,0.175324675,0.384028025,0.026209054,0.497008489,0.188311688,0.078158964,0.083765286,0.13982684,0.331648304,0.072746203,0.716582508,0.146753247,0.058868652,0.081712283,0.15974026,0.344912048
"Alabama",2021,0,0,0.0134705548480643,2,0,0,0,1,1,0,0,0,1,"1",1,1,"1",0.012108,0.0065817,0.0027488,0.0103033,0.2301706,0.8803726,0,0.22291428,0.1679202,0.05091877,0.0520435,"1",19.68146,0.0031203,0.8822114,1,0,61.2971925073324,0.464887302453326,2.71341414429027,0.020845825,0.188311688,0.523609881,0.026209054,0.497008489,0.188311688,0.087863905,0.083189174,0.13982684,0.886219684,0.072746203,0.716582508,0.146753247,0.080702811,0.083393519,0.133766234,0.738463446
"Alabama",2020,0,0,0.0134705548480643,2,0,0,0,1,1,0,0,0,1,"1",1,1,"1",0.012108,0.0065817,0.0027488,0.0103033,0.2301706,0.8803726,0,0.22291428,0.1679202,0.05091877,0.0520435,"1",19.68146,0.0031203,0.8822114,1,0,61.2971925073324,0.464887302453326,2.71341414429027,0.020845825,0.188311688,0.523609881,0.026209054,0.497008489,0.188311688,0.087863905,0.083189174,0.13982684,0.886219684,0.072746203,0.716582508,0.146753247,0.080702811,0.083393519,0.133766234,0.738463446
"Alabama",2019,0,0,0.0137044541163795,2,0,0,0,1,1,0,0,0,1,"1",1,1,"1",0.0171104,0.0052399,0.002139,0.0127389,0.3203463,0.9959073,0,0.22291428,0.1679202,0.05076856,0.0520435,"1",7.469024,0.0062881,0.8828068,0,0,61.2971925073324,0.464887302453326,2.71341414429027,0.025765745,0.162337662,0.568676846,0.026209054,0.497008489,0.188311688,0.092713767,0.091957183,0.151948052,0.936495173,0.072746203,0.716582508,0.146753247,0.080702811,0.083393519,0.133766234,0.738463446
"Alabama",2018,0,0,0.0137044541163795,2,0,0,0,1,1,0,0,0,1,"1",1,1,"1",0.0171104,0.0052399,0.002139,0.0127389,0.3203463,0.9959073,0,0.22291428,0.1679202,0.05076856,0.0520435,"1",7.469024,0.0062881,0.8828068,0,0,61.2971925073324,0.464887302453326,2.71341414429027,0.025765745,0.162337662,0.568676846,0.026209054,0.497008489,0.188311688,0.092713767,0.091957183,0.151948052,0.936495173,0.072746203,0.716582508,0.146753247,0.080702811,0.083393519,0.133766234,0.738463446
"Alabama",2017,0,0,0.0137731581436473,2,0,0,0,1,1,0,0,0,1,"1",1,1,"1",0.0160717,0.0019377,0.000613,0.0392465,0.3813421,0.7435867,0,0.22291428,0.166047,0.05076856,0.0646148,"1",13.17053,0.0062881,0.8621275,0,0,61.2971925073324,0.464887302453326,2.71341414429027,0.039914786,0.175324675,0.530036333,0.026209054,0.497008489,0.188311688,0.122966961,0.067563274,0.145887446,0.815047463,0.072746203,0.716582508,0.146753247,0.078780212,0.066730622,0.15974026,0.7214733
"Alabama",2016,0,0,0.0137731581436473,2,0,0,0,1,1,0,0,0,1,"1",1,1,"1",0.0160717,0.0019377,0.000613,0.0392465,0.3813421,0.7435867,0,0.22291428,0.166047,0.05076856,0.0646148,"1",13.17053,0.0062881,0.8621275,0,0,61.2971925073324,0.464887302453326,2.71341414429027,0.039914786,0.175324675,0.530036333,0.026209054,0.497008489,0.188311688,0.122966961,0.067563274,0.145887446,0.815047463,0.072746203,0.716582508,0.146753247,0.078780212,0.066730622,0.15974026,0.7214733
"Alabama",2015,0,0,0.0143989630008143,2,0,0,0,1,1,0,0,0,1,"1",0,1,"1",0.0177437,0.0019377,0.000613,0.1917563,0.8178264,0.6252103,0,0.23142886,0.166047,0.07635505,0.0646148,"0",3.71631,0.006219,0.8018457,0,0,61.2971925073324,0.464887302453326,2.71341414429027,0.028588155,0.201298701,0.514820119,0.017414295,0.546642495,0.162337662,0.09686841,0.06596745,0.133766234,0.773252124,0.072746203,0.716582508,0.146753247,0.078780212,0.066730622,0.15974026,0.7214733
"Alabama",2014,0,0,0.0143989630008143,2,0,0,0,1,1,0,0,0,1,"1",0,1,"1",0.0177437,0.0019377,0.000613,0.1917563,0.8178264,0.6252103,0,0.23142886,0.166047,0.07635505,0.0646148,"0",3.71631,0.006219,0.8018457,0,0,61.2971925073324,0.464887302453326,2.71341414429027,0.028588155,0.201298701,0.514820119,0.017414295,0.546642495,0.162337662,0.09686841,0.06596745,0.133766234,0.773252124,0.072746203,0.716582508,0.146753247,0.078780212,0.066730622,0.15974026,0.7214733
